symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
ADAUSDT,VOLATILE,1.3912273869791467,0.19245283018867995,0,0,0,50,0.0,0.08,1.5000000000000062,1.0,0,13,-1.0
ADAUSDT,CHOPPY,0.5584737363726453,0.3027522935779848,0,0,0,50,0.0,0.07,1.4996410624551384,-1.0,0,2,-1.0
ADAUSDT,NORMAL,1.176609068223554,0.32894736842105315,1,0,0,50,0.0,0.08,1.4998241294407282,1.0,1,2,1.333
ADAUSDT,VOLATILE,1.4359836656257536,0.6074766355140159,0,0,0,50,0.0,0.07,1.4998608405232334,1.0,1,1,1.333
ADAUSDT,VOLATILE,1.7001967653692969,0.7798742138364778,0,0,0,50,0.0,0.08,1.5001147578609104,1.0,0,23,-1.0
ADAUSDT,NORMAL,1.179914755934419,0.0,1,0,0,50,0.0,0.07,1.500130855796901,1.0,1,12,1.333
ADAUSDT,CHOPPY,0.7381879266211592,0.049382716049380805,1,0,1,50,0.0,0.07,1.4998232591021552,1.0,0,1,-1.0
ADAUSDT,NORMAL,0.8440267583890787,0.5698113207547177,0,0,0,50,0.0,0.08,1.4999999999999913,1.0,0,1,-1.0
ADAUSDT,NORMAL,0.9000714953528021,0.6013986013986019,0,0,0,50,0.0,0.08,1.4998627504803648,1.0,0,21,-1.0
ADAUSDT,NORMAL,0.8989898989898976,0.05660377358490663,0,0,0,50,0.0,0.07,1.5001907668828658,-1.0,1,15,1.333
